Number of OTUs	Number of Clustered Sequences	Number of Replicates	Total Number of Sequences	Sample Name	Path
1	0	0	1	OSD189_6_14_YNG	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;uncultured;
1	0	0	1	OSD189_6_14_YNG	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Parasphingopyxis;
1	1	1	3	OSD189_6_14_YNG	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Rhizorhapis;
2	0	0	2	OSD189_6_14_YNG	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingobium;
14	22	16	52	OSD189_6_14_YNG	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;MWH-UniP1 aquatic group;
1	0	0	1	OSD189_6_14_YNG	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia-Paraburkholderia;
2	1	0	3	OSD189_6_14_YNG	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Ralstonia;
1	0	0	1	OSD189_6_14_YNG	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia;
7	10	3	20	OSD189_6_14_YNG	Bacteria;Proteobacteria;Betaproteobacteria;Hydrogenophilales;Hydrogenophilaceae;uncultured;
5	4	0	9	OSD189_6_14_YNG	Bacteria;Proteobacteria;Betaproteobacteria;Methylophilales;Methylophilaceae;OM43 clade;
1	0	0	1	OSD189_6_14_YNG	Bacteria;Proteobacteria;Betaproteobacteria;TRA3-20;
1	0	0	1	OSD189_6_14_YNG	Bacteria;Proteobacteria;Deltaproteobacteria;Bdellovibrionales;Bacteriovoracaceae;Halobacteriovorax;
1	0	0	1	OSD189_6_14_YNG	Bacteria;Proteobacteria;Deltaproteobacteria;Bdellovibrionales;Bacteriovoracaceae;Peredibacter;
7	10	13	30	OSD189_6_14_YNG	Bacteria;Proteobacteria;Deltaproteobacteria;Bdellovibrionales;Bacteriovoracaceae;uncultured;
26	20	17	63	OSD189_6_14_YNG	Bacteria;Proteobacteria;Deltaproteobacteria;Bdellovibrionales;Bdellovibrionaceae;OM27 clade;
14	7	2	23	OSD189_6_14_YNG	Bacteria;Proteobacteria;Deltaproteobacteria;Bradymonadales;
1	0	0	1	OSD189_6_14_YNG	Bacteria;Proteobacteria;Deltaproteobacteria;Desulfurellales;Desulfurellaceae;H16;
1	0	0	1	OSD189_6_14_YNG	Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Desulfuromonadaceae;Pelobacter;
1	1	0	2	OSD189_6_14_YNG	Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;BIrii41;
5	2	1	8	OSD189_6_14_YNG	Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Blfdi19;
1	0	0	1	OSD189_6_14_YNG	Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Nannocystaceae;
9	8	21	38	OSD189_6_14_YNG	Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;P3OB-42;
1	0	0	1	OSD189_6_14_YNG	Bacteria;Proteobacteria;Deltaproteobacteria;NB1-j;
17	9	5	31	OSD189_6_14_YNG	Bacteria;Proteobacteria;Deltaproteobacteria;Oligoflexales;Oligoflexaceae;
61	116	166	343	OSD189_6_14_YNG	Bacteria;Proteobacteria;Deltaproteobacteria;SAR324 clade(Marine group B);
2	0	0	2	OSD189_6_14_YNG	Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Sulfurovum;
1	1	0	2	OSD189_6_14_YNG	Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas;
2	1	0	3	OSD189_6_14_YNG	Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Marinobacter;
1	1	0	2	OSD189_6_14_YNG	Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Paraglaciecola;
1	0	0	1	OSD189_6_14_YNG	Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Salinimonas;
1	0	0	1	OSD189_6_14_YNG	Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;uncultured;
5	6	3	14	OSD189_6_14_YNG	Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Idiomarinaceae;Idiomarina;
5	9	4	18	OSD189_6_14_YNG	Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Pseudoalteromonadaceae;Pseudoalteromonas;
2	1	0	3	OSD189_6_14_YNG	Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Pseudoalteromonadaceae;uncultured;
2	0	0	2	OSD189_6_14_YNG	Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Psychromonadaceae;Psychromonas;
3	0	0	3	OSD189_6_14_YNG	Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae;Shewanella;
1	0	0	1	OSD189_6_14_YNG	Bacteria;Proteobacteria;Gammaproteobacteria;Arenicellales;Arenicellaceae;Arenicella;
1	0	0	1	OSD189_6_14_YNG	Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales;Cellvibrionaceae;Maricurvus;
1	0	0	1	OSD189_6_14_YNG	Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales;Halieaceae;
1	0	0	1	OSD189_6_14_YNG	Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales;Halieaceae;Haliea;
2	0	0	2	OSD189_6_14_YNG	Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales;Halieaceae;Halioglobus;
3	1	0	4	OSD189_6_14_YNG	Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales;Halieaceae;Luminiphilus;
41	75	63	179	OSD189_6_14_YNG	Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales;Halieaceae;OM60(NOR5) clade;
1	1	2	4	OSD189_6_14_YNG	Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales;Porticoccaceae;C1-B045;
3	4	3	10	OSD189_6_14_YNG	Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales;Porticoccaceae;SAR92 clade;
36	50	57	143	OSD189_6_14_YNG	Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales;Spongiibacteraceae;BD1-7 clade;
1	0	0	1	OSD189_6_14_YNG	Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;Rheinheimera;
1	0	0	1	OSD189_6_14_YNG	Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;uncultured;
2	0	0	2	OSD189_6_14_YNG	Bacteria;Proteobacteria;Gammaproteobacteria;CS-B046;
5	3	3	11	OSD189_6_14_YNG	Bacteria;Proteobacteria;Gammaproteobacteria;E01-9C-26 marine group;
8	7	0	15	OSD189_6_14_YNG	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Citrobacter;
7	24	37	68	OSD189_6_14_YNG	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Enterobacter;
3	0	0	3	OSD189_6_14_YNG	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Escherichia-Shigella;
1	0	0	1	OSD189_6_14_YNG	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Klebsiella;
1	0	0	1	OSD189_6_14_YNG	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Lelliottia;
1	0	0	1	OSD189_6_14_YNG	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Plesiomonas;
1	0	0	1	OSD189_6_14_YNG	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Rahnella;
1	3	0	4	OSD189_6_14_YNG	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Raoultella;
9	13	15	37	OSD189_6_14_YNG	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Serratia;
1	0	0	1	OSD189_6_14_YNG	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Yersinia;
92	167	218	477	OSD189_6_14_YNG	Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria Incertae Sedis;Unknown Family;uncultured;
1	0	0	1	OSD189_6_14_YNG	Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria Incertae Sedis;Unknown Family;Wenzhouxiangella;
2	0	0	2	OSD189_6_14_YNG	Bacteria;Proteobacteria;Gammaproteobacteria;HTA4;
18	28	17	63	OSD189_6_14_YNG	Bacteria;Proteobacteria;Gammaproteobacteria;KI89A clade;
22	1	3	26	OSD189_6_14_YNG	Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Coxiellaceae;Coxiella;
1	0	0	1	OSD189_6_14_YNG	Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales;Methylococcaceae;Methylovulum;
1	0	0	1	OSD189_6_14_YNG	Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;2B4;
5	1	0	6	OSD189_6_14_YNG	Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Alcanivoracaceae;Alcanivorax;
1	0	0	1	OSD189_6_14_YNG	Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;BPS-CK174;
2	0	0	2	OSD189_6_14_YNG	Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;CrystalBog021C3;
1	0	0	1	OSD189_6_14_YNG	Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Hahellaceae;Endozoicomonas;
1	0	0	1	OSD189_6_14_YNG	Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Hahellaceae;Hahella;
1	0	0	1	OSD189_6_14_YNG	Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Halomonadaceae;Chromohalobacter;
2	0	0	2	OSD189_6_14_YNG	Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Halomonadaceae;Halomonas;
1	0	0	1	OSD189_6_14_YNG	Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Halomonadaceae;Salinicola;
1	0	0	1	OSD189_6_14_YNG	Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;JL-ETNP-Y6;
4	3	1	8	OSD189_6_14_YNG	Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Litoricolaceae;Litoricola;
10	2	0	12	OSD189_6_14_YNG	Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae;Marinobacterium;
19	16	17	52	OSD189_6_14_YNG	Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae;Pseudohongiella;
19	21	19	59	OSD189_6_14_YNG	Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;OM182 clade;
371	945	1217	2533	OSD189_6_14_YNG	Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;SAR86 clade;
1	0	0	1	OSD189_6_14_YNG	Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;TBZ33;
1	0	0	1	OSD189_6_14_YNG	Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Actinobacillus;
3	1	1	5	OSD189_6_14_YNG	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;
8	4	1	13	OSD189_6_14_YNG	Bacteria;Proteobacteria;Gammaproteobacteria;Salinisphaerales;Salinisphaeraceae;Salinisphaera;
5	10	8	23	OSD189_6_14_YNG	Bacteria;Proteobacteria;Gammaproteobacteria;Salinisphaerales;Salinisphaeraceae;ZD0417 marine group;
1	0	0	1	OSD189_6_14_YNG	Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;
1	0	0	1	OSD189_6_14_YNG	Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;EV818SWSAP88;
9	21	28	58	OSD189_6_14_YNG	Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Thiotrichaceae;Thiothrix;
1	0	0	1	OSD189_6_14_YNG	Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Thiotrichaceae;uncultured;
3	0	0	3	OSD189_6_14_YNG	Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Thiotrichales Incertae Sedis;Caedibacter;
7	4	2	13	OSD189_6_14_YNG	Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Thiotrichales Incertae Sedis;Candidatus Endoecteinascidia;
2	0	0	2	OSD189_6_14_YNG	Bacteria;Proteobacteria;Gammaproteobacteria;uncultured;
1	0	0	1	OSD189_6_14_YNG	Bacteria;Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae;Enterovibrio;
2	2	0	4	OSD189_6_14_YNG	Bacteria;Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae;Grimontia;
1	0	0	1	OSD189_6_14_YNG	Bacteria;Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae;Photobacterium;
1	0	0	1	OSD189_6_14_YNG	Bacteria;Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae;uncultured;
19	29	22	70	OSD189_6_14_YNG	Bacteria;Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae;Vibrio;
13	12	13	38	OSD189_6_14_YNG	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;JTB255 marine benthic group;
4	3	2	9	OSD189_6_14_YNG	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Stenotrophomonas;
1	0	0	1	OSD189_6_14_YNG	Bacteria;Proteobacteria;JdFBHP3;
9	7	8	24	OSD189_6_14_YNG	Bacteria;Proteobacteria;SPOTSOCT00m83;
17	30	32	79	OSD189_6_14_YNG	Bacteria;SBR1093;
1	0	0	1	OSD189_6_14_YNG	Bacteria;Spirochaetae;Spirochaetes;Spirochaetales;Brevinemataceae;Brevinema;
10	10	9	29	OSD189_6_14_YNG	Bacteria;Verrucomicrobia;Arctic97B-4 marine group;
2	0	2	4	OSD189_6_14_YNG	Bacteria;Verrucomicrobia;OPB35 soil group;
2	1	0	3	OSD189_6_14_YNG	Bacteria;Verrucomicrobia;Opitutae;A714019;
11	8	7	26	OSD189_6_14_YNG	Bacteria;Verrucomicrobia;Opitutae;MB11C04 marine group;
2	0	0	2	OSD189_6_14_YNG	Bacteria;Verrucomicrobia;Opitutae;Puniceicoccales;Puniceicoccaceae;Cerasicoccus;
53	133	230	416	OSD189_6_14_YNG	Bacteria;Verrucomicrobia;Opitutae;Puniceicoccales;Puniceicoccaceae;Coraliomargarita;
1	1	0	2	OSD189_6_14_YNG	Bacteria;Verrucomicrobia;Opitutae;Puniceicoccales;Puniceicoccaceae;Lentimonas;
4	2	8	14	OSD189_6_14_YNG	Bacteria;Verrucomicrobia;Opitutae;Puniceicoccales;Puniceicoccaceae;marine group;
3	1	0	4	OSD189_6_14_YNG	Bacteria;Verrucomicrobia;Opitutae;Puniceicoccales;Puniceicoccaceae;Pelagicoccus;
26	52	75	153	OSD189_6_14_YNG	Bacteria;Verrucomicrobia;R76-B128;
5	8	9	22	OSD189_6_14_YNG	Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;DEV007;
3	2	2	7	OSD189_6_14_YNG	Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Rubritaleaceae;Rubritalea;
159	114	141	414	OSD189_6_14_YNG	No Relative
1	0	0	1	OSD190_6_14_KI	Archaea;Bathyarchaeota;
125	591	1015	1731	OSD190_6_14_KI	Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Marine Group II;
9	43	76	128	OSD190_6_14_KI	Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Marine Group III;
1	0	0	1	OSD190_6_14_KI	Archaea;Thaumarchaeota;Marine Group I;
1	19	6	26	OSD190_6_14_KI	Archaea;Thaumarchaeota;Marine Group I;Unknown Order;Unknown Family;Candidatus Nitrosoarchaeum;
12	90	128	230	OSD190_6_14_KI	Archaea;Thaumarchaeota;Marine Group I;Unknown Order;Unknown Family;Candidatus Nitrosopelagicus;
28	103	292	423	OSD190_6_14_KI	Archaea;Thaumarchaeota;Marine Group I;Unknown Order;Unknown Family;Candidatus Nitrosopumilus;
1	0	0	1	OSD190_6_14_KI	Archaea;Woesearchaeota (DHVEG-6);
1	1	0	2	OSD190_6_14_KI	Bacteria;Acidobacteria;Subgroup 21;
2	0	0	2	OSD190_6_14_KI	Bacteria;Acidobacteria;Subgroup 22;
1	0	0	1	OSD190_6_14_KI	Bacteria;Acidobacteria;Subgroup 9;
1	0	0	1	OSD190_6_14_KI	Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;uncultured;
96	193	380	669	OSD190_6_14_KI	Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;OM1 clade;Candidatus Actinomarina;
45	97	105	247	OSD190_6_14_KI	Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Sva0996 marine group;
1	0	0	1	OSD190_6_14_KI	Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;uncultured;
1	0	0	1	OSD190_6_14_KI	Bacteria;Actinobacteria;Nitriliruptoria;Euzebyales;Euzebyaceae;Euzebya;
1	0	0	1	OSD190_6_14_KI	Bacteria;Bacteroidetes;Bacteroidetes Incertae Sedis;Order II;Rhodothermaceae;uncultured;
3	0	0	3	OSD190_6_14_KI	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prolixibacteraceae;Prolixibacter;
1	0	0	1	OSD190_6_14_KI	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;uncultured;
1	0	0	1	OSD190_6_14_KI	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Flammeovirgaceae;Aureibacter;
1	0	0	1	OSD190_6_14_KI	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Flammeovirgaceae;Flammeovirga;
5	12	8	25	OSD190_6_14_KI	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Flammeovirgaceae;Marinoscillum;
11	6	4	21	OSD190_6_14_KI	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Flammeovirgaceae;uncultured;
7	3	1	11	OSD190_6_14_KI	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Cryomorphaceae;Crocinitomix;
9	9	9	27	OSD190_6_14_KI	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Cryomorphaceae;Fluviicola;
8	5	0	13	OSD190_6_14_KI	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Cryomorphaceae;NS10 marine group;
1	0	0	1	OSD190_6_14_KI	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Cryomorphaceae;Owenweeksia;
98	278	381	757	OSD190_6_14_KI	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Cryomorphaceae;uncultured;
1	0	0	1	OSD190_6_14_KI	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Algitalea;
3	0	0	3	OSD190_6_14_KI	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Aquibacter;
2	0	0	2	OSD190_6_14_KI	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Aquimarina;
2	1	1	4	OSD190_6_14_KI	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavicella;
2	5	4	11	OSD190_6_14_KI	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Formosa;
1	0	0	1	OSD190_6_14_KI	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Jejudonia;
1	0	0	1	OSD190_6_14_KI	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Lutimonas;
26	108	182	316	OSD190_6_14_KI	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;NS2b marine group;
45	97	87	229	OSD190_6_14_KI	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;NS4 marine group;
140	348	521	1009	OSD190_6_14_KI	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;NS5 marine group;
2	1	0	3	OSD190_6_14_KI	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Olleya;
1	4	1	6	OSD190_6_14_KI	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Polaribacter 4;
3	0	0	3	OSD190_6_14_KI	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Pseudofulvibacter;
1	0	0	1	OSD190_6_14_KI	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Psychroserpens;
1	0	0	1	OSD190_6_14_KI	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Salegentibacter;
1	0	0	1	OSD190_6_14_KI	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Spongiiferula;
3	3	0	6	OSD190_6_14_KI	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Tenacibaculum;
1	1	0	2	OSD190_6_14_KI	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Ulvibacter;
9	7	3	19	OSD190_6_14_KI	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;uncultured;
2	0	0	2	OSD190_6_14_KI	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Winogradskyella;
9	12	16	37	OSD190_6_14_KI	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;NS7 marine group;
138	312	425	875	OSD190_6_14_KI	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;NS9 marine group;
1	0	0	1	OSD190_6_14_KI	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae;Taibaiella;
1	0	0	1	OSD190_6_14_KI	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;S15-21;
2	0	0	2	OSD190_6_14_KI	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Saprospiraceae;Aureispira;
2	0	0	2	OSD190_6_14_KI	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Saprospiraceae;Lewinella;
1	0	0	1	OSD190_6_14_KI	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Saprospiraceae;Phaeodactylibacter;
2	0	0	2	OSD190_6_14_KI	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Saprospiraceae;Portibacter;
1	0	0	1	OSD190_6_14_KI	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Saprospiraceae;Rubidimonas;
18	4	3	25	OSD190_6_14_KI	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Saprospiraceae;uncultured;
3	0	0	3	OSD190_6_14_KI	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;uncultured;
2	0	0	2	OSD190_6_14_KI	Bacteria;Bacteroidetes;WCHB1-32;
1	0	0	1	OSD190_6_14_KI	Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;Simkaniaceae;Candidatus Fritschea;
1	0	0	1	OSD190_6_14_KI	Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;Simkaniaceae;uncultured;
1	0	0	1	OSD190_6_14_KI	Bacteria;Chlorobi;Chlorobia;Chlorobiales;Chlorobiaceae;Chlorobium;
1	0	0	1	OSD190_6_14_KI	Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;uncultured;
4	3	5	12	OSD190_6_14_KI	Bacteria;Chloroflexi;JG30-KF-CM66;
25	37	33	95	OSD190_6_14_KI	Bacteria;Chloroflexi;SAR202 clade;
490	1194	1594	3278	OSD190_6_14_KI	Bacteria;Cyanobacteria;Chloroplast;
49	58	36	143	OSD190_6_14_KI	Bacteria;Cyanobacteria;Cyanobacteria;SubsectionI;FamilyI;Prochlorococcus;
151	506	932	1589	OSD190_6_14_KI	Bacteria;Cyanobacteria;Cyanobacteria;SubsectionI;FamilyI;Synechococcus;
1	0	0	1	OSD190_6_14_KI	Bacteria;Cyanobacteria;Cyanobacteria;SubsectionIII;FamilyI;Phormidium;
1	0	0	1	OSD190_6_14_KI	Bacteria;Cyanobacteria;Melainabacteria;Vampirovibrionales;
7	3	0	10	OSD190_6_14_KI	Bacteria;Cyanobacteria;ML635J-21;
1	0	0	1	OSD190_6_14_KI	Bacteria;Elusimicrobia;Elusimicrobia;MVP-88;
1	0	0	1	OSD190_6_14_KI	Bacteria;Fibrobacteres;Fibrobacteria;Fibrobacterales;Fibrobacteraceae;uncultured;
2	0	0	2	OSD190_6_14_KI	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Oceanobacillus;
1	0	0	1	OSD190_6_14_KI	Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Chungangia;
1	0	0	1	OSD190_6_14_KI	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;
1	0	0	1	OSD190_6_14_KI	Bacteria;Firmicutes;Clostridia;Halanaerobiales;ODP1230B8.23;
1	0	0	1	OSD190_6_14_KI	Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Propionigenium;
4	7	10	21	OSD190_6_14_KI	Bacteria;Gemmatimonadetes;BD2-11 terrestrial group;
1	2	1	4	OSD190_6_14_KI	Bacteria;Lentisphaerae;Lentisphaeria;Lentisphaerales;Lentisphaeraceae;Lentisphaera;
2	1	1	4	OSD190_6_14_KI	Bacteria;Lentisphaerae;Oligosphaeria;SS1-B-02-17;
209	472	817	1498	OSD190_6_14_KI	Bacteria;Marinimicrobia (SAR406 clade);
1	0	0	1	OSD190_6_14_KI	Bacteria;Nitrospinae;Nitrospinia;Nitrospinales;Nitrospinaceae;Nitrospina;
1	3	0	4	OSD190_6_14_KI	Bacteria;Nitrospinae;Nitrospinia;Nitrospinales;Nitrospinaceae;uncultured;
2	0	0	2	OSD190_6_14_KI	Bacteria;Omnitrophica;Omnitrophica Incertae Sedis;Unknown Order;Unknown Family;Candidatus Omnitrophus;
1	0	0	1	OSD190_6_14_KI	Bacteria;Parcubacteria;Candidatus Campbellbacteria;
2	3	2	7	OSD190_6_14_KI	Bacteria;PAUC34f;
1	0	0	1	OSD190_6_14_KI	Bacteria;Planctomycetes;BD7-11;
15	27	31	73	OSD190_6_14_KI	Bacteria;Planctomycetes;OM190;
23	32	14	69	OSD190_6_14_KI	Bacteria;Planctomycetes;Phycisphaerae;Phycisphaerales;Phycisphaeraceae;CL500-3;
4	7	5	16	OSD190_6_14_KI	Bacteria;Planctomycetes;Phycisphaerae;Phycisphaerales;Phycisphaeraceae;FS140-16B-02 marine group;
1	0	0	1	OSD190_6_14_KI	Bacteria;Planctomycetes;Phycisphaerae;Phycisphaerales;Phycisphaeraceae;JL-ETNP-F27;
